date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,avg_clust_coef,avg_degree,num_edges,num_nodes,bitcoin_open,bitcoin_high,bitcoin_low,bitcoin_close,bitcoin_volume,bitcoin_market_cap,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_market_cap
6/30/2018,13698,1347,2839,1278,1415,469,79,61,15,2,169,31,48,7,0.010238299,1.1672,5991,5133,6214.22,6465.51,6214.22,6404,4543860224,1.06E+11,436.21,458.8,436.21,455.18,1475939968,43789488128
7/1/2018,10615,1041,2266,987,1122,425,83,61,18,8,111,25,33,5,0.009535641,1.222,5108,4180,6411.68,6432.85,6289.29,6385.82,4788259840,1.10E+11,455.24,457.14,446.39,453.92,1511730048,45709529088
7/2/2018,14106,1736,3091,1425,1402,503,95,70,17,9,178,32,72,13,0.008882814,1.2206,6529,5349,6380.38,6683.86,6305.7,6614.18,4396930048,1.09E+11,453.82,479.13,447.11,475.35,1625789952,45576421376
7/3/2018,15560,1768,3332,1512,1392,497,99,76,26,13,235,59,80,9,0.009884088,1.1749,6409,5455,6596.66,6671.37,6447.75,6529.59,4672309760,1.13E+11,475.39,483.85,462.58,464.2,1683939968,47751659520
7/4/2018,13311,1698,2823,1259,1406,536,101,79,20,7,236,56,73,11,0.011453609,1.1486,5734,4992,6550.87,6771.92,6450.46,6597.55,4176689920,1.12E+11,464.15,481.44,455.18,467.32,1549769984,46632648704
7/5/2018,12390,1743,2878,1399,1298,478,90,62,20,10,200,34,66,11,0.009552298,1.1359,5423,4774,6599.71,6749.54,6546.65,6639.14,4999240192,1.13E+11,467.29,483.23,464.63,474.41,1828610048,46957277184
7/6/2018,12395,1640,2808,1322,1363,545,100,70,20,8,147,34,67,8,0.009962192,1.1601,5370,4629,6638.69,6700.94,6533.55,6673.5,4313959936,1.14E+11,474.36,479.65,457.61,474.01,1627609984,47677440000
7/7/2018,10282,1153,2293,1090,1120,413,74,50,12,8,153,40,53,10,0.012677065,1.1732,4613,3932,6668.71,6863.99,6579.24,6856.93,3961080064,1.14E+11,474.06,491.66,466.84,491.66,1358360064,47656947712
7/8/2018,11029,1117,2300,1034,1167,436,75,58,16,9,157,35,43,5,0.012465073,1.1839,4867,4111,6857.8,6885.91,6747.98,6773.88,3386210048,1.18E+11,492.07,503.2,488.42,489.12,1344560000,49477697536
7/9/2018,12322,1835,2760,1267,1246,472,107,76,17,6,187,49,95,24,0.006084152,1.1892,5626,4731,6775.08,6838.68,6724.34,6741.75,3718129920,1.16E+11,488.88,490.85,475.17,476.68,1533799936,49166921728
7/10/2018,14574,1768,3401,1641,1519,571,106,84,18,10,185,30,116,19,0.011131143,1.1433,5879,5142,6739.21,6767.74,6320.72,6329.95,4052430080,1.16E+11,476.16,478.32,433.96,434.42,1789069952,47897903104
7/11/2018,12355,1729,2787,1280,1200,442,89,65,22,11,188,45,88,10,0.009694614,1.1478,5559,4843,6330.77,6444.96,6330.47,6394.71,3644859904,1.09E+11,434.52,447.32,429.51,446.52,1422470016,43717398528
7/12/2018,13960,1726,3163,1534,1470,565,110,82,19,10,189,47,74,8,0.007321458,1.192,6053,5078,6396.78,6397.1,6136.42,6228.81,3770170112,1.10E+11,446.5,446.5,422.81,430.07,1495440000,44932661248
7/13/2018,12528,1814,2903,1392,1381,542,110,94,16,8,214,52,74,8,0.013961484,1.1747,5521,4700,6235.03,6310.55,6192.24,6238.05,3805400064,1.07E+11,430.74,442.36,430.74,434.03,1489670016,43355430912
7/14/2018,10215,1301,2250,1059,1144,456,90,79,21,11,157,43,67,9,0.008295223,1.1981,4748,3963,6247.5,6298.19,6212.22,6276.12,2923670016,1.07E+11,434.51,439.43,431.47,436.09,1235820032,43743715328
7/15/2018,10244,998,2115,965,1300,543,75,58,15,11,133,35,43,10,0.009517815,1.1437,4378,3828,6272.7,6403.46,6256.51,6359.64,3285459968,1.08E+11,435.88,454,433.92,449.85,1350160000,43890753536
7/16/2018,13456,1759,2987,1445,1409,531,95,69,21,12,200,53,66,11,0.010059089,1.1393,5707,5009,6357.01,6741.75,6357.01,6741.75,4725799936,1.09E+11,450.42,480.66,446.8,480.66,1858680064,45364322304
7/17/2018,16688,2027,3568,1636,1400,480,119,91,18,9,223,52,69,7,0.007538291,1.1615,6942,5977,6739.65,7387.24,6684.17,7321.04,5961950208,1.16E+11,480.08,508.78,468.92,501,2288100096,48360497152
7/18/2018,15290,1994,3146,1381,1431,461,108,75,23,13,229,49,57,6,0.006326936,1.1193,6427,5742,7315.32,7534.99,7280.47,7370.78,6103410176,1.25E+11,500.84,513.43,474.36,480.51,2371559936,50462244864
7/19/2018,13375,1830,2935,1339,1360,496,113,79,17,9,194,45,83,4,0.009095637,1.1446,5809,5075,7378.2,7494.46,7295.46,7466.86,5111629824,1.27E+11,480.63,483.24,465.14,469.62,2068739968,48435744768
7/20/2018,13378,1773,2907,1331,1398,500,119,90,16,8,206,46,72,15,0.01125422,1.1277,5438,4822,7467.4,7594.67,7323.26,7354.13,4936869888,1.28E+11,469.31,469.31,443.69,450.7,1821350016,47304454144
7/21/2018,9462,1201,2117,998,1069,398,76,57,18,11,141,37,40,9,0.011209963,1.1576,4458,3851,7352.72,7437.64,7262.41,7419.29,3726609920,1.26E+11,450.68,468.08,445.78,462.44,1504310016,45435904000
